Adresas , Rajonas, Kambarių sk, Plotas, Kaina, Šildymas, Pastato tipas, Metai
 Mindaugo g.,Naujamiestis,2,55,149000.0,Centriniskolektorinis,Mūrinis,2015,
 Mindaugo g.,Naujamiestis,2,55,149000.0,Centriniskolektorinis,Mūrinis,2015,
 Saltoniškių g.,Žvėrynas,3,77.28,228000.0,Centriniskolektorinis,Mūrinis,2008,
 Raugyklos g.,Senamiestis,1,31.3,91000.0,Centriniskolektorinis,Mūrinis,2019,
 Raugyklos g.,Senamiestis,3,77.2,205000.0,Elektra.centriniskolektorinis,Mūrinis,2019,
 Mykolo Sleževičiaus g.,Jeruzalė,1,29.79,54600.0,Centriniskolektorinis,Mūrinis,2019,
 Taikos g.,Justiniškės,2,50,58500.0,Centrinis,Blokinis,1985,
 Šaltinių g.,Senamiestis,2,52,160000.0,Centrinis,Mūrinis,1940statyba.1993renovacija,
 Kernavės g.,Šnipiškės,2,43,106500.0,Dujinis,Mūrinis,2018,
 Loretos Asanavičiūtės g.,Karoliniškės,3,62.5,64900.0,Centrinis,Blokinis,1975,
 Dominikonų g.,Senamiestis,4,108.05,289000.0,Centrinis,Mūrinis,1940,
 Taikos g.,Justiniškės,3,65.25,115000.0,Centriniskolektorinis,Mūrinis,2000,
 Salomėjos Nėries g.,Fabijoniškės,1,24.95,31950.0,Centrinis,Monolitinis,1994,
 Vilniaus g.,Senamiestis,3,91,267000.0,Centrinis,Mūrinis,1940,
 Kalvarijų g.,Šnipiškės,2,47,75000.0,Centrinis,Blokinis,1968,
 Mindaugo g.,Naujamiestis,3,87,186999.0,Centriniskolektorinis,Mūrinis,2011,
 Šventeliškių g.,Bajorai,2,50.53,100000.0,Dujinis,Mūrinis,2018,
 L. Giros g.,Fabijoniškės,3,70.66,106000.0,Centriniskolektorinis,Mūrinis,2003,
 Šeškinės g.,Šeškinė,4,138.31,169000.0,Centrinis,Mūrinis,1994,
 Parko g.,Naujoji Vilnia,4,83,75000.0,Centrinis,Mūrinis,1986,
 Medeinos g.,Pašilaičiai,3,70.4,87000.0,Centrinis,Blokinis,1987,
 Fizikų g.,Bajorai,2,58.52,105000.0,Centriniskolektorinis,Blokinis,2007,
 Viršuliškių g.,Viršuliškės,1,33,58000.0,Centrinis,Monolitinis,1977,
 Jonažolių g.,Lazdynėliai,3,76.96,115000.0,Centriniskolektorinis,Mūrinis,2007,
 Čiobiškio g.,Šeškinė,3,66.68,62500.0,Centrinis,Blokinis,1982,
 Bajorų kel.,Bajorai,3,82,132000.0,Centriniskolektorinis,Mūrinis,2008,
 Antakalnio g.,Antakalnis,4,137.62,174000.0,Centriniskolektorinis,Mūrinis,2000,
 Viršilų g.,Viršuliškės,3,78,119500.0,Centriniskolektorinis,Mūrinis,2008,
 Medeinos g.,Pašilaičiai,3,60,72000.0,Centrinis,Blokinis,1990,
 Didlaukio g.,Baltupiai,4,92.88,119000.0,Centrinis,Mūrinis,1985,
 Pašilaičių g.,Pašilaičiai,4,85.88,115000.0,Centrinis,Monolitinis,1990,
 Verkių g.,Verkiai,3,63.67,175000.0,Centriniskolektorinis,Mūrinis,2007,
 Fizikų g.,Santariškės,2,57.39,96000.0,Centriniskolektorinis,Mūrinis,2008,
 Konstitucijos pr.,Šnipiškės,2,73,156900.0,Centriniskolektorinis,Mūrinis,2007,
 Fizikų g.,Santariškės,3,75.21,119000.0,Centriniskolektorinis,Mūrinis,2008,
 Architektų g.,Lazdynai,2,46.9,59900.0,Centrinis,Blokinis,1970,
 Kareivių g.,Žirmūnai,2,33,45000.0,Centrinis,Mūrinis,1980,
 Vytenio g.,Naujamiestis,2,46.11,61500.0,Centrinis,Blokinis,1964,
 Justiniškių g.,Justiniškės,2,51.22,87000.0,Centriniskolektorinis,Mūrinis,2002,
 Savanorių pr.,Naujamiestis,2,42.15,49900.0,Centrinis,Mūrinis,1962,
 Ragės g.,Balsiai,2,37.25,42600.0,Elektra.dujinis.kita,Mūrinis,2018,
 Filaretų g.,Užupis,2,52.53,84000.0,Centrinis,Mūrinis,1987,
 Žygio g.,Šiaurės miestelis,3,50.84,115000.0,Centrinis,Mūrinis,2006,
 Tuskulėnų g.,Žirmūnai,3,67.51,96000.0,Centrinis,Mūrinis,1975,
 Eitminų g.,Pašilaičiai,2,36.85,69000.0,Centriniskolektorinis,Mūrinis,2018,
 Eitminų g.,Pašilaičiai,2,53.26,64500.0,Centriniskolektorinis,Mūrinis,2017,
 Justiniškių g.,Viršuliškės,2,47,65300.0,Centrinis,Blokinis,1976,
 Apolinaro Juozo Povilaičio g.,Karoliniškės,1,33.2,39900.0,Centrinis,Blokinis,1974,
 Rugių g.,Jeruzalė,2,33.23,54999.0,Centrinis,Mūrinis,1993,
 Kalvarijų g.,Žirmūnai,4,78,80500.0,Centrinis,Blokinis,1969,
 Kapsų g.,Naujininkai,1,28,43000.0,Centrinis,Mūrinis,1977,
 Žirmūnų g.,Žirmūnai,3,72,111000.0,Centrinis,Mūrinis,1971,
 Pavilnionių g.,Pašilaičiai,3,75.25,120000.0,Centriniskolektorinis,Blokinis,2008,
 Jurgio Baltrušaičio g.,Pašilaičiai,2,56,85000.0,Centriniskolektorinis,Mūrinis,2004,
 Pylimėlių g.,Antakalnis,2,46,105000.0,Geoterminis,Mūrinis,2016,
 V. Grybo g.,Antakalnis,4,96.26,210000.0,Centriniskolektorinis.centrinis,Blokinis,2005,
 Savanorių pr.,Naujamiestis,2,64,135000.0,Centrinis.centriniskolektorinis,Monolitinis,2011,
 Konstitucijos pr.,Šnipiškės,3,98,245000.0,Kita.centriniskolektorinis.centrinis,Monolitinis,2007,
 Jurgio Lebedžio g.,Baltupiai,2,30.29,59500.0,Centriniskolektorinis,Mūrinis,2019,
 Jurgio Lebedžio g.,Žirmūnai,1,22.66,38500.0,Centriniskolektorinis,Mūrinis,2019,
 Erfurto g.,Lazdynai,2,49.51,58000.0,Centrinis,Blokinis,1974,
 Lvovo g.,Šnipiškės,3,75.2,179900.0,Centriniskolektorinis,Monolitinis,2012,
 A. Vivulskio g.,Naujamiestis,3,100,256000.0,Centriniskolektorinis,Mūrinis,2008,
 Musninkų g.,Šeškinė,2,52,61000.0,Centrinis,Blokinis,1986,
 A. Rotundo g.,Senamiestis,4,169,780000.0,Centriniskolektorinis,Mūrinis,2010,
 A. Juozapavičiaus g.,Šnipiškės,3,107,270000.0,Centriniskolektorinis,Mūrinis,2007,
 M. K. Čiurlionio g.,Senamiestis,4,198,890000.0,Centriniskolektorinis,Mūrinis,2016,
 Aguonų g.,Senamiestis,3,115,629000.0,Centriniskolektorinis,Mūrinis,2019,
 Gedimino pr.,Senamiestis,2,51,190000.0,Centriniskolektorinis,Mūrinis,2017,
 Neužmirštuolių g.,Lazdynėliai,4,132,139000.0,Centriniskolektorinis,Mūrinis,2000,
 Konduktorių g.,Naujininkai,1,26,24500.0,Elektra.dujinis,Mūrinis,1974,
 Virginijaus Druskio g.,Karoliniškės,2,54.5,54500.0,Centrinis,Blokinis,1972,
 Polocko g.,Užupis,4,90,283000.0,Centriniskolektorinis,Mūrinis,2016,
 Verkių g.,Žirmūnai,3,63.67,175000.0,Centriniskolektorinis,Mūrinis,2007,
 Dariaus ir Girėno g.,Naujininkai,2,43,50000.0,Centrinis,Mūrinis,1963,
 Vytenio g.,Naujamiestis,3,58,85500.0,Centrinis,Blokinis,1961,
 Kalvarijų g.,Šnipiškės,1,18,27900.0,Centrinis,Mūrinis,1973,
 Eitminų g.,Pašilaičiai,3,70.69,112900.0,Centrinis,Mūrinis,2015,
 Dainavos g.,Senamiestis,1,36.13,122336.0,Centriniskolektorinis,Monolitinis,2019,
 Gedimino pr.,Senamiestis,2,52.95,204917.0,Centriniskolektorinis,Blokinis,2019,
 Bajorų kel.,Santariškės,3,81,123000.0,Centriniskolektorinis,Mūrinis,2009,
 Subačiaus g.,Markučiai,1,13.25,16200.0,Centrinis,Mūrinis,1987,
 Trinapolio g.,Žirmūnai,2,35.69,67800.0,Centriniskolektorinis,Mūrinis,2019,
 Gerosios Vilties g.,Naujamiestis,2,44.15,61500.0,Centrinis,Blokinis,1964,
 Žolyno g.,Antakalnis,4,114.12,230000.0,Centriniskolektorinis,Mūrinis,2003,
 Rugių g.,Jeruzalė,4,68,110000.0,Dujinis,Mūrinis,2000,
 I. Kanto al.,Pilaitė,2,50.23,62990.0,Centrinis,Blokinis,1993,
 Savanorių pr.,Naujamiestis,3,66,122000.0,Centrinis,Mūrinis,1993,
 Juodupio g.,Užupis,3,60,93000.0,Dujinis,Mūrinis,2018,
 Juodupio g.,Kalnėnai,3,60,93000.0,Dujinis,Mūrinis,2018,
 Architektų g.,Lazdynai,2,47,56500.0,Centrinis,Blokinis,1979,
 Vilniaus g.,Grigiškės,3,48.97,57000.0,Centrinis,Mūrinis,1965,
 Panevėžio g.,Naujamiestis,3,75.14,108000.0,Centriniskolektorinis,Mūrinis,1958,
 Panevėžio g.,Naujininkai,3,75.14,108000.0,Centriniskolektorinis,Mūrinis,1958,
 Antakalnio g.,Antakalnis,3,60,92500.0,Centrinis,Mūrinis,1967,
 Architektų g.,Lazdynai,3,60.7,64700.0,Centrinis,Blokinis,1971,
 Nemenčinės pl.,Antakalnis,4,172,242000.0,Centrinis,Mūrinis,1997,
 Linkmenų g.,Šnipiškės,3,58.43,108700.0,Centriniskolektorinis,Blokinis,2019,
 Architektų g.,Lazdynai,2,47,67000.0,Centrinis,Blokinis,1969,
 Architektų g.,Lazdynai,2,47,67000.0,Centrinis,Blokinis,1969,
 Linkmenų g.,Šnipiškės,2,45.57,91500.0,Centriniskolektorinis,Blokinis,2019,
 Krivių g.,Užupis,4,85.71,289000.0,Centriniskolektorinis,Mūrinis,2007,
 Krivių g.,Senamiestis,4,85.71,289000.0,Centriniskolektorinis,Mūrinis,2007,
 Antakalnio g.,Antakalnis,2,49.83,74000.0,Centrinis,Mūrinis,1968,
 P. Vileišio g.,Antakalnis,3,81,139000.0,Dujinis,Mūrinis,1967,
 Savanorių pr.,Naujamiestis,2,46,64000.0,Centrinis,Blokinis,1962,
 Linkmenų g.,Šnipiškės,2,45.34,92100.0,Centriniskolektorinis,Blokinis,2019,
 Linkmenų g.,Šnipiškės,2,45.72,83000.0,Centriniskolektorinis,Blokinis,2019,
 Linkmenų g.,Šnipiškės,2,45.77,83400.0,Centriniskolektorinis,Blokinis,2019,
 Linkmenų g.,Šnipiškės,2,45.16,77200.0,Centriniskolektorinis,Blokinis,2019,
 Linkmenų g.,Šnipiškės,2,45.78,81300.0,Centriniskolektorinis,Blokinis,2019,
 Eitminų g.,Pašilaičiai,2,41.68,66000.0,Centriniskolektorinis,Mūrinis,2012,
 Minties g.,Žirmūnai,2,44,68000.0,Centrinis,Blokinis,1968,
 Danės g.,Pilaitė,3,65.34,92000.0,Aeroterminis,Mūrinis,2018,
 Danės g.,Pilaitė,3,65.34,92000.0,Geoterminis,Mūrinis,2017,
 Danės g.,Pilaitė,3,65,135000.0,Aeroterminis,Mūrinis,2018,
 Danės g.,Pilaitė,3,65,135000.0,Geoterminis,Mūrinis,2018,
 Vytauto g.,Žvėrynas,2,40,149000.0,Centriniskolektorinis,Mūrinis,2017,
 Subačiaus g.,Senamiestis,5,158,450000.0,Centrinis,Mūrinis,1940statyba.2014renovacija,
 J. Jasinskio g.,Senamiestis,5,120,359000.0,Centrinis,Mūrinis,1940,
 Konstitucijos pr.,Naujamiestis,4,91.12,225997.0,Kita,Monolitinis,2019,
 Konstitucijos pr.,Naujamiestis,2,41.18,106244.0,Kita,Monolitinis,2019,
 Konstitucijos pr.,Šnipiškės,2,41.18,106244.0,Centriniskolektorinis,Monolitinis,2019,
 Justiniškių g.,Justiniškės,1,40,48000.0,Centrinis,Blokinis,1984,
 Justiniškių g.,Justiniškės,1,40,48000.0,Centrinis,Blokinis,1984,
 Vingrių g.,Naujamiestis,3,61.32,159000.0,Centriniskolektorinis,Mūrinis,2017,
 Vingrių g.,Senamiestis,3,61.32,159000.0,Centriniskolektorinis,Mūrinis,2017,
 Pumpurų g.,Naujininkai,2,35,14000.0,Kietukuru,Medinis,1940,
 Džiaugsmo g.,Kalnėnai,2,59.03,109900.0,Dujinis,Mūrinis,2015,
 Broniaus Kazio Balučio g.,Pavilnys,2,59.03,109900.0,Dujinis,Mūrinis,2015,
 J. Kubiliaus g.,Šiaurės miestelis,2,58.3,97900.0,Dujinis,Mūrinis,2002,
 Didlaukio g.,Baltupiai,4,150,227000.0,Centriniskolektorinis,Monolitinis,2004,
 Linksmoji g.,Naujoji Vilnia,4,115,135000.0,Elektra,Mūrinis,2001,
 Linksmoji g.,Naujoji Vilnia,4,115,129900.0,Elektra,Mūrinis,2001,
 Eišiškių pl.,Naujininkai,1,29,58000.0,Centrinis,Monolitinis,2018,
 Eišiškių pl.,Naujininkai,3,54,104000.0,Centrinis,Monolitinis,2018,
 Vytauto g.,Žvėrynas,5,95.78,250000.0,Kietukuru,Medinis,1940,
 Salomėjos Nėries g.,Fabijoniškės,1,43,63000.0,Centriniskolektorinis,Mūrinis,2006,
 Vydūno g.,Pilaitė,2,50.46,62500.0,Centrinis,Blokinis,1992,
 Naugarduko g.,Naujamiestis,2,60,87900.0,Centrinis,Mūrinis,1978,
 Savanorių pr.,Naujamiestis,4,97.47,117000.0,Centrinis,Mūrinis,1953,
 Loretos Asanavičiūtės g.,Karoliniškės,3,64,75000.0,Centrinis,Blokinis,1972,
 Aguonų g.,Senamiestis,1,45.19,129000.0,Centrinis,Mūrinis,2009,
 Liepkalnio g.,Liepkalnis,4,82,95000.0,Elektra.dujinis.kietukuru,Rąstinis,1940statyba.2018renovacija,
 Smėlio g.,Antakalnis,3,75.45,155804.0,Centriniskolektorinis,Mūrinis,2019,
 Gilužio g.,Pilaitė,3,79,109000.0,Centriniskolektorinis,Mūrinis,2003,
 Daugėliškio g.,Žirmūnai,3,89,148900.0,Centriniskolektorinis,Mūrinis,2003,
 Daugėliškio g.,Šnipiškės,3,89,148900.0,Centriniskolektorinis,Mūrinis,2003,
 Z. Sierakausko g.,Naujamiestis,4,118.82,356460.0,Geoterminis,Mūrinis,2020,
 Geologų g.,Naujininkai,2,47,35000.0,Centrinis,Mūrinis,1950,
 Pavilnionių g.,Pašilaičiai,1,35,58000.0,Centriniskolektorinis,Mūrinis,2008,
 Perkūnkiemio g.,Pašilaičiai,2,35.5,58000.0,Centriniskolektorinis,Mūrinis,2008,
 Perkūnkiemio g.,Fabijoniškės,2,35,58000.0,Centriniskolektorinis,Mūrinis,2008,
 Parko g.,Naujoji Vilnia,2,40,37500.0,Centrinis,Mūrinis,1980,
 Tuskulėnų g.,Žirmūnai,4,77.88,110000.0,Centrinis,Blokinis,1968,
 Smolensko g.,Naujamiestis,4,87,173000.0,Centriniskolektorinis,Mūrinis,2019,
 Savanorių pr.,Vilkpėdė,1,25,29000.0,Centrinis,Mūrinis,1950,
 Olimpiečių g.,Šnipiškės,3,98.25,495000.0,Centriniskolektorinis,Mūrinis,2006,
 Genių g.,Naujoji Vilnia,3,64,84000.0,Centrinis,Mūrinis,1979,
 Šviesos g.,Grigiškės,3,68,69900.0,Centrinis,Blokinis,1991,
 Vandentiekio g.,Naujamiestis,1,29,45000.0,Centrinis,Mūrinis,1961,
 Salomėjos Nėries g.,Fabijoniškės,1,38,57000.0,Centriniskolektorinis,Mūrinis,2006,
 Pergalės g.,Naujoji Vilnia,3,66,59900.0,Centrinis,Mūrinis,1971,
 Salomėjos Nėries g.,Fabijoniškės,2,52,76900.0,Dujinis,Mūrinis,2007,
 Volungės g.,Antakalnis,1,29.12,49900.0,Centrinis,Mūrinis,1962,
 Gurių g.,Kalnėnai,2,54,97000.0,Dujinis,Mūrinis,2008,
 Kalvarijų g.,Šnipiškės,2,50,59000.0,Elektra.kietukuru,Mūrinis,1940,
 Šaltkalvių g.,Naujininkai,1,18,26500.0,Centrinis,Mūrinis,1970,
 Justiniškių g.,Justiniškės,2,40,67000.0,Centrinis,Blokinis,1983,
 Salomėjos Nėries g.,Fabijoniškės,2,44.76,69500.0,Centriniskolektorinis,Mūrinis,2006,
 Loretos Asanavičiūtės g.,Karoliniškės,2,48.6,59900.0,Centrinis,Mūrinis,1975,
 Laisvės pr.,Pašilaičiai,2,32.25,57000.0,Centriniskolektorinis,Mūrinis,2018,
 Laisvės pr.,Pašilaičiai,3,51,79000.0,Centriniskolektorinis,Mūrinis,2018,
 Laisvės pr.,Pašilaičiai,2,55,60900.0,Centrinis,Monolitinis,1986,
 Panevėžio g.,Naujininkai,2,59,82500.0,Elektra.kita,Monolitinis,2019,
 Jurgio Lebedžio g.,Žirmūnai,2,44,89990.0,Centriniskolektorinis,Mūrinis,2017,
 Jurgio Lebedžio g.,Baltupiai,2,44,89990.0,Centriniskolektorinis,Mūrinis,2017,
 Taikos g.,Justiniškės,2,50.39,74700.0,Centrinis,Blokinis,1983,
 Skroblų g.,Naujamiestis,3,65.9,75000.0,Centrinis,Mūrinis,1984,
 Konstitucijos pr.,Šnipiškės,3,100.04,480192.0,Centriniskolektorinis,Monolitinis,2019,
 Konstitucijos pr.,Šnipiškės,3,98.49,299902.0,Centriniskolektorinis,Monolitinis,2019,
 Konstitucijos pr.,Šnipiškės,2,41,114744.0,Centriniskolektorinis,Monolitinis,2019,
 Konstitucijos pr.,Šnipiškės,2,41.19,115332.0,Centriniskolektorinis,Monolitinis,2019,
 Konstitucijos pr.,Šnipiškės,2,44,125999.0,Centriniskolektorinis,Monolitinis,2019,
 Konstitucijos pr.,Šnipiškės,2,73,156900.0,Centriniskolektorinis,Mūrinis,2007,
 Konstitucijos pr.,Šnipiškės,2,73,156900.0,Centriniskolektorinis,Mūrinis,2007,
 Konstitucijos pr.,Šnipiškės,2,72.7,157000.0,Centriniskolektorinis,Mūrinis,2006,
 Konstitucijos pr.,Šnipiškės,2,72.5,157000.0,Centriniskolektorinis,Mūrinis,2004,
 Vido Maciulevičiaus g.,Karoliniškės,1,33.4,50000.0,Centrinis,Blokinis,1973,
 Malonioji g.,Žvėrynas,4,81.61,101000.0,Dujinis,Medinis,1940,
 Rugių g.,Jeruzalė,1,28.77,59900.0,Centriniskolektorinis,Mūrinis,2000,
 Mindaugo g.,Senamiestis,1,27,95000.0,Centriniskolektorinis,Mūrinis,2016,
 Duburio g.,Antakalnis,2,52.37,66000.0,Dujinis,Mūrinis,2019,
 Markučių g.,Markučiai,4,137.27,249000.0,Kita.geoterminis.centriniskolektorinis,Mūrinis,2019,
 Markučių g.,Senamiestis,5,137.27,249000.0,Geoterminis,Mūrinis,2019,
 Markučių g.,Užupis,5,137.27,249000.0,Geoterminis,Mūrinis,2019,
 Markučių g.,Užupis,4,137.27,249000.0,Kita.geoterminis.centriniskolektorinis,Mūrinis,2019,
 Markučių g.,Senamiestis,4,137.27,249000.0,Kita.geoterminis.centriniskolektorinis,Mūrinis,2019,
 Norvegų g.,Kalnėnai,3,66,89000.0,Dujinis,Mūrinis,2019,
 Norvegų g.,Kalnėnai,3,66,89000.0,Dujinis,Mūrinis,2019,
 Bitėnų g.,Pilaitė,3,56.44,94900.0,Centriniskolektorinis,Mūrinis,2019,
 Sausio 13-osios g.,Karoliniškės,2,47,48500.0,Centrinis,Blokinis,1973,
 Karaliaučiaus g.,Pilaitė,4,91.01,142000.0,Geoterminis,Mūrinis,2018,
 Karaliaučiaus g.,Pilaitė,4,91.01,142000.0,Geoterminis,Mūrinis,2018,
 Karaliaučiaus g.,Pilaitė,4,91.01,142000.0,Geoterminis,Mūrinis,2018,
 Karaliaučiaus g.,Pilaitė,4,91.01,142000.0,Geoterminis,Mūrinis,2018,
 Karaliaučiaus g.,Pilaitė,4,91.01,142000.0,Geoterminis,Mūrinis,2018,
 Bitėnų g.,Pilaitė,3,56.44,79900.0,Centriniskolektorinis,Mūrinis,2019,
 M. Daukšos g.,Senamiestis,4,67,135000.0,Kita.dujinis.centriniskolektorinis,Mūrinis,1940,
 M. Daukšos g.,Senamiestis,4,67,135000.0,Dujinis,Mūrinis,2016statyba.2016renovacija,
 M. Daukšos g.,Senamiestis,4,67,135000.0,Centriniskolektorinis,Mūrinis,1940,
 Karaliaučiaus g.,Pilaitė,2,51.57,82070.0,Centriniskolektorinis,Blokinis,2018,
 Karaliaučiaus g.,Pilaitė,2,43.65,63839.0,Centriniskolektorinis,Blokinis,2019,
 Salaspilio g.,Bajorai,2,53.76,97861.0,Dujinis,Mūrinis,2018,
 Salaspilio g.,Bajorai,2,53.61,99453.0,Dujinis,Mūrinis,2018,
 Karaliaučiaus g.,Pilaitė,1,33.27,51342.0,Centrinis,Blokinis,2018,
 Karaliaučiaus g.,Pilaitė,2,48.64,84634.0,Centrinis,Blokinis,2018,
 Karaliaučiaus g.,Pilaitė,2,45.22,81143.0,Centrinis,Blokinis,2018,
 Salomėjos Nėries g.,Fabijoniškės,3,71.4,86000.0,Centriniskolektorinis,Mūrinis,2008,
 Salomėjos Nėries g.,Fabijoniškės,3,71.54,86000.0,Centriniskolektorinis,Mūrinis,2008,
 Rugių g.,Baltupiai,2,57.63,79000.0,Dujinis,Mūrinis,2002,
 Rugių g.,Jeruzalė,2,57.63,79000.0,Dujinis,Mūrinis,2002,
 Rugių g.,Jeruzalė,3,57.63,79000.0,Dujinis,Mūrinis,2002,
 Rugių g.,Jeruzalė,2,57.63,79000.0,Dujinis,Mūrinis,2002,
 Žirmūnų g.,Žirmūnai,3,49,69000.0,Centrinis,Blokinis,2010,
 Rugių g.,Jeruzalė,3,72,150000.0,Dujinis,Mūrinis,2002,
 Karaliaučiaus g.,Pilaitė,1,29,52000.0,Centriniskolektorinis,Mūrinis,2018,
 Žirmūnų g.,Žirmūnai,1,29,53000.0,Centrinis.centriniskolektorinis,Blokinis,1966statyba.2010renovacija,
 Sėlių g.,Žvėrynas,3,78.28,177300.0,Centriniskolektorinis,Mūrinis,2007,
 Erfurto g.,Lazdynai,3,82,145000.0,Centriniskolektorinis,Mūrinis,2007,
 Kapsų g.,Naujininkai,2,31.46,39900.0,Centrinis,Mūrinis,1982,
 Bajorų kel.,Visoriai,2,52.03,95000.0,Centriniskolektorinis,Blokinis,2012,
 Bajorų kel.,Bajorai,2,52.03,95000.0,Centriniskolektorinis,Blokinis,2012,
 Olimpiečių g.,Žirmūnai,2,56.59,281989.0,Centriniskolektorinis,Mūrinis,2017,
 Olimpiečių g.,Žirmūnai,2,63.73,235234.0,Centriniskolektorinis,Mūrinis,2017,
 Olimpiečių g.,Žirmūnai,3,78.53,219884.0,Centriniskolektorinis,Mūrinis,2017,
 Olimpiečių g.,Žirmūnai,3,83.1,278385.0,Centriniskolektorinis,Mūrinis,2017,
 Olimpiečių g.,Žirmūnai,4,94.84,350908.0,Centriniskolektorinis,Mūrinis,2017,
 Olimpiečių g.,Žirmūnai,1,48.49,160000.0,Centriniskolektorinis,Mūrinis,2017,
 Olimpiečių g.,Žirmūnai,4,109.6,454841.0,Centriniskolektorinis,Mūrinis,2017,
 Olimpiečių g.,Žirmūnai,3,83.98,312228.0,Centriniskolektorinis,Mūrinis,2017,
 Olimpiečių g.,Žirmūnai,3,91.17,314537.0,Centriniskolektorinis,Mūrinis,2017,
 Olimpiečių g.,Žirmūnai,3,63.74,200646.0,Centriniskolektorinis,Mūrinis,2017,
 Rinktinės g.,Žirmūnai,2,55.3,137194.0,Centriniskolektorinis,Mūrinis,2019,
 Rinktinės g.,Žirmūnai,1,35.75,94505.0,Centriniskolektorinis,Mūrinis,2019,
 Rinktinės g.,Žirmūnai,2,50.54,133237.0,Centriniskolektorinis,Mūrinis,2019,
 Rinktinės g.,Žirmūnai,2,52.33,136973.0,Centriniskolektorinis,Mūrinis,2019,
 Kernavės g.,Šnipiškės,2,44.46,87800.0,Centriniskolektorinis,Mūrinis,2020,
 Antakalnio g.,Antakalnis,2,48.41,60000.0,Centrinis,Mūrinis,1968,
 Vytenio g.,Naujamiestis,2,48,63000.0,Centrinis,Blokinis,1960,
 L. Stuokos-Gucevičiaus g.,Senamiestis,4,84,260000.0,Aeroterminis,Mūrinis,1940,
 Mykolo Marcinkevičiaus g.,Jeruzalė,2,59.71,99500.0,Centrinis,Mūrinis,2000,
 Mykolo Marcinkevičiaus g.,Santariškės,2,59.71,99500.0,Centrinis,Mūrinis,2000,
 Laisvės pr.,Pašilaičiai,1,34,51900.0,Centrinis,Mūrinis,1988,
 Jurgio Baltrušaičio g.,Pašilaičiai,2,55.17,89000.0,Centriniskolektorinis,Mūrinis,2004,
 Gėlių g.,Senamiestis,2,65,117000.0,Dujinis,Mūrinis,1940,
 Antakalnio g.,Antakalnis,3,68,87990.0,Centrinis,Mūrinis,1975statyba.2016renovacija,
 Antakalnio g.,Antakalnis,3,69.32,89000.0,Centrinis,Mūrinis,1975,
 Klinikų g.,Antakalnis,1,32,49900.0,Centrinis,Mūrinis,1979,
 Saulės g.,Antakalnis,3,83.26,212000.0,Dujinis,Mūrinis,2005,
 Kunigiškių g.,Grigiškės,2,51,50000.0,Centriniskolektorinis,Mūrinis,1972,
 Kunigiškių g.,Grigiškės,2,51,50000.0,Centriniskolektorinis,Mūrinis,1972,
 Ukmergės g.,Pašilaičiai,3,75.28,112000.0,Dujinis,Mūrinis,2003,
 Ukmergės g.,Fabijoniškės,3,75.28,112000.0,Dujinis,Mūrinis,2003,
 Turniškių g.,Antakalnis,3,72,198000.0,Centrinis.elektra.centriniskolektorinis,Mūrinis,1968,
 Turniškių g.,Valakampiai,3,72,198000.0,Centrinis.elektra.centriniskolektorinis,Mūrinis,1968,
 Turniškių g.,Turniškės,3,72.21,198000.0,Dujinis,Mūrinis,1968statyba.2005renovacija,
 Žirmūnų g.,Žirmūnai,3,76,325000.0,Centrinis.kita,Mūrinis,2015,
 Naugarduko g.,Senamiestis,1,18,27500.0,Centrinis,Mūrinis,1980,
 Naugarduko g.,Senamiestis,1,18,27500.0,Centrinis,Mūrinis,1986,
 Algirdo g.,Senamiestis,1,18,25000.0,Centrinis,Mūrinis,1980,
 Algirdo g.,Senamiestis,1,18,25000.0,Centrinis,Mūrinis,1980,
 Sporto g.,Žirmūnai,3,78.03,169000.0,Centriniskolektorinis,Mūrinis,2004,
 Verkių g.,Žirmūnai,4,144.25,520000.0,Centrinis,Mūrinis,2007,
 Verkių g.,Verkiai,4,144.25,520000.0,Centrinis,Mūrinis,2007,
 J. Franko g.,Santariškės,3,77.75,145000.0,Centriniskolektorinis,Mūrinis,2006,
 Jaunimo skg.,Naujoji Vilnia,2,50,44900.0,Kietukuru,Mūrinis,1982,
 Jaunimo g.,Grigaičių k.,2,50,44900.0,Kietukuru,Mūrinis,1982,
 Loretos Asanavičiūtės g.,Karoliniškės,3,63.2,65000.0,Centrinis,Blokinis,1974,
 Parko g.,Naujoji Vilnia,1,27.36,28400.0,Centrinis,Mūrinis,1970,
 Tuskulėnų g.,Žirmūnai,4,80.48,212550.0,Centriniskolektorinis,Monolitinis,2018,
 Piromonto g.,Žirmūnai,3,52.31,100753.0,Centriniskolektorinis,Monolitinis,2018,
 Piromonto g.,Žirmūnai,3,51.96,102435.0,Centriniskolektorinis,Monolitinis,2018,
 Piromonto g.,Žirmūnai,2,40.57,102467.0,Centriniskolektorinis,Monolitinis,2018,
 M. Katkaus g.,Žirmūnai,3,61.85,113900.0,Centriniskolektorinis,Monolitinis,2019,
 Aguonų g.,Senamiestis,3,64.32,167941.0,Centriniskolektorinis,Monolitinis,2019,
 Aguonų g.,Senamiestis,2,39.2,101881.0,Centriniskolektorinis,Monolitinis,2019,
 Aguonų g.,Senamiestis,1,25.43,77333.0,Centriniskolektorinis,Monolitinis,2019,
 Aguonų g.,Senamiestis,1,35.73,91983.0,Centriniskolektorinis,Monolitinis,2019,
